"Category","Name","FullName","Bytes","FriendlySize","LastWriteTime","SHA256","SignatureStatus","SignerSubject","OpenAISigned","MatchesAuditedAugust14Pack"
"OpenAI installer candidate","ChatGPT Installer (1).exe","C:\Users\estim\Downloads\ChatGPT Installer (1).exe","1462848","1.40 MB","8/14/2026 7:20:41 PM","AC8D9C030C0C19C225F9F882C0BACDA0689789D859557DFFE8F3517DF7EFC562","Valid","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","False","False"
"OpenAI installer candidate","ChatGPT Installer (2).exe","C:\Users\estim\Downloads\ChatGPT Installer (2).exe","1462848","1.40 MB","8/14/2026 7:38:48 PM","5C2109622F139C129844A5B18E087004724C53F7D339FAE54349A8BAD14C5098","Valid","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","False","False"
"OpenAI installer candidate","ChatGPT Installer (3).exe","C:\Users\estim\Downloads\ChatGPT Installer (3).exe","1462848","1.40 MB","8/15/2026 6:12:12 PM","DE3E0615550F8F84C98A03F583533A5B79D5B24313E49400710C801882F6E412","Valid","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","False","False"
"OpenAI installer candidate","ChatGPT Installer (4).exe","C:\Users\estim\Downloads\ChatGPT Installer (4).exe","1462848","1.40 MB","8/15/2026 6:17:14 PM","DE3E0615550F8F84C98A03F583533A5B79D5B24313E49400710C801882F6E412","Valid","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","False","False"
"OpenAI installer candidate","ChatGPT Installer (5).exe","C:\Users\estim\Downloads\ChatGPT Installer (5).exe","1462848","1.40 MB","8/15/2026 6:17:23 PM","DE3E0615550F8F84C98A03F583533A5B79D5B24313E49400710C801882F6E412","Valid","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","False","False"
"OpenAI installer candidate","ChatGPT Installer.exe","C:\Users\estim\Downloads\ChatGPT Installer.exe","1462848","1.40 MB","7/27/2026 7:23:34 AM","EFB99957E31B391DA4E351ADF80BB15BCF7C6E01A3F1AAE697C40EE425718CE2","Valid","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","False","False"
"OpenAI installer candidate","Codex Installer.exe","C:\Users\estim\Downloads\Codex Installer.exe","1462848","1.40 MB","7/27/2026 7:18:20 AM","EFB99957E31B391DA4E351ADF80BB15BCF7C6E01A3F1AAE697C40EE425718CE2","Valid","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","False","False"
